date,store,item,sales
18/5/2019,1,1,20
19/5/2019,1,1,19
20/5/2019,1,1,14
21/5/2019,1,1,24
22/5/2019,1,1,23
23/5/2019,1,1,14
24/5/2019,1,1,24
25/5/2019,1,1,25
26/5/2019,1,1,27
27/5/2019,1,1,7
28/5/2019,1,1,12
29/5/2019,1,1,10
30/5/2019,1,1,19
31/5/2019,1,1,27
1/6/2019,1,1,26
2/6/2019,1,1,22
3/6/2019,1,1,12
4/6/2019,1,1,15
5/6/2019,1,1,24
6/6/2019,1,1,9
7/6/2019,1,1,21
8/6/2019,1,1,20
9/6/2019,1,1,38
10/6/2019,1,1,20
11/6/2019,1,1,18
12/6/2019,1,1,22
13/6/2019,1,1,21
14/6/2019,1,1,22
15/6/2019,1,1,26
16/6/2019,1,1,23
17/6/2019,1,1,13
18/6/2019,1,1,21
19/6/2019,1,1,18
20/6/2019,1,1,24
21/6/2019,1,1,19
22/6/2019,1,1,23
23/6/2019,1,1,24
24/6/2019,1,1,17
25/6/2019,1,1,21
26/6/2019,1,1,21
27/6/2019,1,1,26
28/6/2019,1,1,17
29/6/2019,1,1,20
30/6/2019,1,1,24
1/7/2019,1,1,23
2/7/2019,1,1,17
3/7/2019,1,1,12
4/7/2019,1,1,24
5/7/2019,1,1,17
6/7/2019,1,1,16
7/7/2019,1,1,34
8/7/2019,1,1,20
9/7/2019,1,1,23
10/7/2019,1,1,14
11/7/2019,1,1,25
12/7/2019,1,1,29
13/7/2019,1,1,22
14/7/2019,1,1,29
15/7/2019,1,1,18
16/7/2019,1,1,12
17/7/2019,1,1,16
18/7/2019,1,1,21
19/7/2019,1,1,25
20/7/2019,1,1,25
21/7/2019,1,1,26
22/7/2019,1,1,18
23/7/2019,1,1,17
24/7/2019,1,1,21
25/7/2019,1,1,21
26/7/2019,1,1,31
27/7/2019,1,1,19
28/7/2019,1,1,25
29/7/2019,1,1,8
30/7/2019,1,1,26
31/7/2019,1,1,27
1/8/2019,1,1,21
2/8/2019,1,1,19
3/8/2019,1,1,24
4/8/2019,1,1,26
5/8/2019,1,1,17
6/8/2019,1,1,10
7/8/2019,1,1,25
8/8/2019,1,1,20
9/8/2019,1,1,19
10/8/2019,1,1,22
11/8/2019,1,1,25
12/8/2019,1,1,10
13/8/2019,1,1,11
14/8/2019,1,1,19
15/8/2019,1,1,22
16/8/2019,1,1,15
17/8/2019,1,1,29
18/8/2019,1,1,27
19/8/2019,1,1,11
20/8/2019,1,1,15
21/8/2019,1,1,20
22/8/2019,1,1,20
23/8/2019,1,1,19
24/8/2019,1,1,19
25/8/2019,1,1,23
26/8/2019,1,1,11
27/8/2019,1,1,16
28/8/2019,1,1,20
29/8/2019,1,1,14
30/8/2019,1,1,20
31/8/2019,1,1,25
1/9/2019,1,1,25
2/9/2019,1,1,10
3/9/2019,1,1,16
4/9/2019,1,1,10
5/9/2019,1,1,16
6/9/2019,1,1,20
7/9/2019,1,1,20
8/9/2019,1,1,19
9/9/2019,1,1,15
10/9/2019,1,1,17
11/9/2019,1,1,26
12/9/2019,1,1,14
13/9/2019,1,1,16
14/9/2019,1,1,27
15/9/2019,1,1,14
16/9/2019,1,1,16
17/9/2019,1,1,20
18/9/2019,1,1,18
19/9/2019,1,1,16
20/9/2019,1,1,11
21/9/2019,1,1,13
22/9/2019,1,1,16
23/9/2019,1,1,18
24/9/2019,1,1,14
25/9/2019,1,1,17
26/9/2019,1,1,20
27/9/2019,1,1,22
28/9/2019,1,1,13
29/9/2019,1,1,20
30/9/2019,1,1,20
1/10/2019,1,1,12
2/10/2019,1,1,11
3/10/2019,1,1,14
4/10/2019,1,1,14
5/10/2019,1,1,14
6/10/2019,1,1,20
7/10/2019,1,1,13
8/10/2019,1,1,13
9/10/2019,1,1,14
10/10/2019,1,1,20
11/10/2019,1,1,17
12/10/2019,1,1,17
13/10/2019,1,1,20
14/10/2019,1,1,15
15/10/2019,1,1,15
16/10/2019,1,1,15
17/10/2019,1,1,10
18/10/2019,1,1,10
19/10/2019,1,1,18
20/10/2019,1,1,25
21/10/2019,1,1,13
22/10/2019,1,1,11
23/10/2019,1,1,16
24/10/2019,1,1,17
25/10/2019,1,1,18
26/10/2019,1,1,19
27/10/2019,1,1,14
28/10/2019,1,1,11
29/10/2019,1,1,17
30/10/2019,1,1,20
31/10/2019,1,1,21
1/11/2019,1,1,20
2/11/2019,1,1,24
3/11/2019,1,1,19
4/11/2019,1,1,12
5/11/2019,1,1,20
6/11/2019,1,1,16
7/11/2019,1,1,17
8/11/2019,1,1,22
9/11/2019,1,1,18
10/11/2019,1,1,23
11/11/2019,1,1,16
12/11/2019,1,1,20
13/11/2019,1,1,20
14/11/2019,1,1,9
15/11/2019,1,1,18
16/11/2019,1,1,13
17/11/2019,1,1,17
18/11/2019,1,1,17
19/11/2019,1,1,18
20/11/2019,1,1,17
21/11/2019,1,1,16
22/11/2019,1,1,17
23/11/2019,1,1,31
24/11/2019,1,1,20
25/11/2019,1,1,16
26/11/2019,1,1,25
27/11/2019,1,1,25
28/11/2019,1,1,17
29/11/2019,1,1,19
30/11/2019,1,1,30
1/12/2019,1,1,16
2/12/2019,1,1,8
3/12/2019,1,1,21
4/12/2019,1,1,6
5/12/2019,1,1,13
6/12/2019,1,1,15
7/12/2019,1,1,17
8/12/2019,1,1,17
9/12/2019,1,1,8
10/12/2019,1,1,14
11/12/2019,1,1,7
12/12/2019,1,1,5
13/12/2019,1,1,13
14/12/2019,1,1,16
15/12/2019,1,1,15
16/12/2019,1,1,15
17/12/2019,1,1,8
18/12/2019,1,1,18
19/12/2019,1,1,7
20/12/2019,1,1,13
21/12/2019,1,1,11
22/12/2019,1,1,9
23/12/2019,1,1,8
24/12/2019,1,1,17
25/12/2019,1,1,6
26/12/2019,1,1,16
27/12/2019,1,1,18
28/12/2019,1,1,17
29/12/2019,1,1,14
30/12/2019,1,1,5
31/12/2019,1,1,15
1/1/2020,1,1,9
2/1/2020,1,1,14
3/1/2020,1,1,11
4/1/2020,1,1,20
5/1/2020,1,1,17
6/1/2020,1,1,14
7/1/2020,1,1,11
8/1/2020,1,1,12
9/1/2020,1,1,17
10/1/2020,1,1,12
11/1/2020,1,1,17
12/1/2020,1,1,12
13/1/2020,1,1,12
14/1/2020,1,1,17
15/1/2020,1,1,17
16/1/2020,1,1,15
17/1/2020,1,1,18
18/1/2020,1,1,15
19/1/2020,1,1,12
20/1/2020,1,1,6
21/1/2020,1,1,7
22/1/2020,1,1,21
23/1/2020,1,1,18
24/1/2020,1,1,18
25/1/2020,1,1,21
26/1/2020,1,1,16
27/1/2020,1,1,8
28/1/2020,1,1,6
29/1/2020,1,1,13
30/1/2020,1,1,11
31/1/2020,1,1,18
1/2/2020,1,1,13
2/2/2020,1,1,16
3/2/2020,1,1,10
4/2/2020,1,1,9
5/2/2020,1,1,21
6/2/2020,1,1,17
7/2/2020,1,1,15
8/2/2020,1,1,15
9/2/2020,1,1,18
10/2/2020,1,1,10
11/2/2020,1,1,10
12/2/2020,1,1,9
13/2/2020,1,1,22
14/2/2020,1,1,20
15/2/2020,1,1,20
16/2/2020,1,1,13
17/2/2020,1,1,11
18/2/2020,1,1,11
19/2/2020,1,1,16
20/2/2020,1,1,19
21/2/2020,1,1,16
22/2/2020,1,1,17
23/2/2020,1,1,13
24/2/2020,1,1,7
25/2/2020,1,1,14
26/2/2020,1,1,17
27/2/2020,1,1,10
28/2/2020,1,1,16
1/3/2020,1,1,20
2/3/2020,1,1,15
3/3/2020,1,1,12
4/3/2020,1,1,11
5/3/2020,1,1,18
6/3/2020,1,1,19
7/3/2020,1,1,21
8/3/2020,1,1,14
9/3/2020,1,1,21
10/3/2020,1,1,13
11/3/2020,1,1,14
12/3/2020,1,1,24
13/3/2020,1,1,17
14/3/2020,1,1,16
15/3/2020,1,1,22
16/3/2020,1,1,31
17/3/2020,1,1,19
18/3/2020,1,1,17
19/3/2020,1,1,24
20/3/2020,1,1,21
21/3/2020,1,1,18
22/3/2020,1,1,20
23/3/2020,1,1,25
24/3/2020,1,1,4
25/3/2020,1,1,15
26/3/2020,1,1,17
27/3/2020,1,1,17
28/3/2020,1,1,16
29/3/2020,1,1,18
30/3/2020,1,1,15
31/3/2020,1,1,15
1/4/2020,1,1,19
2/4/2020,1,1,11
3/4/2020,1,1,16
4/4/2020,1,1,17
5/4/2020,1,1,21
6/4/2020,1,1,26
7/4/2020,1,1,19
8/4/2020,1,1,19
9/4/2020,1,1,20
10/4/2020,1,1,18
11/4/2020,1,1,23
12/4/2020,1,1,19
13/4/2020,1,1,22
14/4/2020,1,1,20
15/4/2020,1,1,22
16/4/2020,1,1,20
17/4/2020,1,1,18
18/4/2020,1,1,20
19/4/2020,1,1,22
20/4/2020,1,1,22
21/4/2020,1,1,17
22/4/2020,1,1,12
23/4/2020,1,1,16
24/4/2020,1,1,25
25/4/2020,1,1,22
26/4/2020,1,1,21
27/4/2020,1,1,20
28/4/2020,1,1,15
29/4/2020,1,1,18
30/4/2020,1,1,13
1/5/2020,1,1,22
2/5/2020,1,1,19
3/5/2020,1,1,22
4/5/2020,1,1,23
5/5/2020,1,1,21
6/5/2020,1,1,19
7/5/2020,1,1,21
8/5/2020,1,1,15
9/5/2020,1,1,18
10/5/2020,1,1,16
11/5/2020,1,1,27
12/5/2020,1,1,16
13/5/2020,1,1,22
14/5/2020,1,1,21
15/5/2020,1,1,22
16/5/2020,1,1,23
17/5/2020,1,1,18
18/5/2020,1,1,36
19/5/2020,1,1,12
20/5/2020,1,1,23
21/5/2020,1,1,16
22/5/2020,1,1,25
23/5/2020,1,1,28
24/5/2020,1,1,25
25/5/2020,1,1,20
26/5/2020,1,1,15
27/5/2020,1,1,13
28/5/2020,1,1,13
29/5/2020,1,1,20
30/5/2020,1,1,29
31/5/2020,1,1,31
1/6/2020,1,1,24
2/6/2020,1,1,16
3/6/2020,1,1,23
4/6/2020,1,1,20
5/6/2020,1,1,24
6/6/2020,1,1,23
7/6/2020,1,1,27
8/6/2020,1,1,29
9/6/2020,1,1,18
10/6/2020,1,1,14
11/6/2020,1,1,22
12/6/2020,1,1,22
13/6/2020,1,1,25
14/6/2020,1,1,29
15/6/2020,1,1,33
16/6/2020,1,1,25
17/6/2020,1,1,32
18/6/2020,1,1,20
19/6/2020,1,1,22
20/6/2020,1,1,19
21/6/2020,1,1,26
22/6/2020,1,1,37
23/6/2020,1,1,19
24/6/2020,1,1,24
25/6/2020,1,1,21
26/6/2020,1,1,18
27/6/2020,1,1,29
28/6/2020,1,1,34
29/6/2020,1,1,19
30/6/2020,1,1,16
1/7/2020,1,1,16
2/7/2020,1,1,24
3/7/2020,1,1,25
4/7/2020,1,1,28
5/7/2020,1,1,25
6/7/2020,1,1,34
7/7/2020,1,1,16
8/7/2020,1,1,25
9/7/2020,1,1,27
10/7/2020,1,1,23
11/7/2020,1,1,25
12/7/2020,1,1,22
13/7/2020,1,1,24
14/7/2020,1,1,21
15/7/2020,1,1,24
16/7/2020,1,1,17
17/7/2020,1,1,26
18/7/2020,1,1,25
19/7/2020,1,1,31
20/7/2020,1,1,26
21/7/2020,1,1,21
22/7/2020,1,1,30
23/7/2020,1,1,19
24/7/2020,1,1,26
25/7/2020,1,1,24
26/7/2020,1,1,29
27/7/2020,1,1,35
28/7/2020,1,1,11
29/7/2020,1,1,19
30/7/2020,1,1,25
31/7/2020,1,1,23
1/8/2020,1,1,12
2/8/2020,1,1,23
3/8/2020,1,1,27
4/8/2020,1,1,20
5/8/2020,1,1,19
6/8/2020,1,1,25
7/8/2020,1,1,21
8/8/2020,1,1,27
9/8/2020,1,1,27
10/8/2020,1,1,22
11/8/2020,1,1,22
12/8/2020,1,1,20
13/8/2020,1,1,11
14/8/2020,1,1,17
15/8/2020,1,1,21
16/8/2020,1,1,20
17/8/2020,1,1,31
18/8/2020,1,1,25
19/8/2020,1,1,15
20/8/2020,1,1,21
21/8/2020,1,1,20
22/8/2020,1,1,21
23/8/2020,1,1,26
24/8/2020,1,1,26
25/8/2020,1,1,12
26/8/2020,1,1,25
27/8/2020,1,1,21
28/8/2020,1,1,19
29/8/2020,1,1,17
30/8/2020,1,1,30
31/8/2020,1,1,28
1/9/2020,1,1,16
2/9/2020,1,1,15
3/9/2020,1,1,22
4/9/2020,1,1,26
5/9/2020,1,1,27
6/9/2020,1,1,21
7/9/2020,1,1,25
8/9/2020,1,1,12
9/9/2020,1,1,22
10/9/2020,1,1,16
11/9/2020,1,1,15
12/9/2020,1,1,25
13/9/2020,1,1,17
14/9/2020,1,1,26
15/9/2020,1,1,12
16/9/2020,1,1,15
17/9/2020,1,1,17
18/9/2020,1,1,18
19/9/2020,1,1,21
20/9/2020,1,1,21
21/9/2020,1,1,20
22/9/2020,1,1,15
23/9/2020,1,1,20
24/9/2020,1,1,14
25/9/2020,1,1,17
26/9/2020,1,1,23
27/9/2020,1,1,13
28/9/2020,1,1,22
29/9/2020,1,1,18
30/9/2020,1,1,15
1/10/2020,1,1,12
2/10/2020,1,1,15
3/10/2020,1,1,24
4/10/2020,1,1,27
5/10/2020,1,1,33
6/10/2020,1,1,9
7/10/2020,1,1,10
8/10/2020,1,1,25
9/10/2020,1,1,18
10/10/2020,1,1,19
11/10/2020,1,1,28
12/10/2020,1,1,29
13/10/2020,1,1,6
14/10/2020,1,1,20
15/10/2020,1,1,21
16/10/2020,1,1,17
17/10/2020,1,1,18
18/10/2020,1,1,22
19/10/2020,1,1,13
20/10/2020,1,1,8
21/10/2020,1,1,19
22/10/2020,1,1,14
23/10/2020,1,1,18
24/10/2020,1,1,17
25/10/2020,1,1,21
26/10/2020,1,1,22
27/10/2020,1,1,15
28/10/2020,1,1,12
29/10/2020,1,1,11
30/10/2020,1,1,12
31/10/2020,1,1,20
1/11/2020,1,1,17
2/11/2020,1,1,33
3/11/2020,1,1,16
4/11/2020,1,1,16
5/11/2020,1,1,15
6/11/2020,1,1,22
7/11/2020,1,1,22
8/11/2020,1,1,12
9/11/2020,1,1,28
10/11/2020,1,1,16
11/11/2020,1,1,12
12/11/2020,1,1,18
13/11/2020,1,1,18
14/11/2020,1,1,25
15/11/2020,1,1,24
16/11/2020,1,1,18
17/11/2020,1,1,17
18/11/2020,1,1,18
19/11/2020,1,1,19
20/11/2020,1,1,17
21/11/2020,1,1,28
22/11/2020,1,1,20
23/11/2020,1,1,29
24/11/2020,1,1,18
25/11/2020,1,1,19
26/11/2020,1,1,23
27/11/2020,1,1,23
28/11/2020,1,1,24
29/11/2020,1,1,28
30/11/2020,1,1,24
1/12/2020,1,1,10
2/12/2020,1,1,17
3/12/2020,1,1,9
4/12/2020,1,1,10
5/12/2020,1,1,14
6/12/2020,1,1,16
7/12/2020,1,1,11
8/12/2020,1,1,13
9/12/2020,1,1,13
10/12/2020,1,1,14
11/12/2020,1,1,12
12/12/2020,1,1,10
13/12/2020,1,1,16
14/12/2020,1,1,13
15/12/2020,1,1,14
16/12/2020,1,1,11
17/12/2020,1,1,15
18/12/2020,1,1,10
19/12/2020,1,1,11
20/12/2020,1,1,19
21/12/2020,1,1,18
22/12/2020,1,1,8
23/12/2020,1,1,13
24/12/2020,1,1,16
25/12/2020,1,1,20
26/12/2020,1,1,12
27/12/2020,1,1,15
28/12/2020,1,1,17
29/12/2020,1,1,9
30/12/2020,1,1,11
31/12/2020,1,1,12
1/1/2021,1,1,11
2/1/2021,1,1,19
3/1/2021,1,1,16
4/1/2021,1,1,14
5/1/2021,1,1,14
6/1/2021,1,1,9
7/1/2021,1,1,13
8/1/2021,1,1,18
9/1/2021,1,1,18
10/1/2021,1,1,17
11/1/2021,1,1,19
12/1/2021,1,1,9
13/1/2021,1,1,9
14/1/2021,1,1,15
15/1/2021,1,1,10
16/1/2021,1,1,15
17/1/2021,1,1,16
18/1/2021,1,1,15
19/1/2021,1,1,12
20/1/2021,1,1,12
21/1/2021,1,1,10
22/1/2021,1,1,8
23/1/2021,1,1,14
24/1/2021,1,1,20
25/1/2021,1,1,19
26/1/2021,1,1,12
27/1/2021,1,1,13
28/1/2021,1,1,13
29/1/2021,1,1,7
30/1/2021,1,1,12
31/1/2021,1,1,19
1/2/2021,1,1,17
2/2/2021,1,1,6
3/2/2021,1,1,10
4/2/2021,1,1,8
5/2/2021,1,1,18
6/2/2021,1,1,13
7/2/2021,1,1,13
8/2/2021,1,1,18
9/2/2021,1,1,12
10/2/2021,1,1,15
11/2/2021,1,1,19
12/2/2021,1,1,15
13/2/2021,1,1,13
14/2/2021,1,1,11
15/2/2021,1,1,18
16/2/2021,1,1,14
17/2/2021,1,1,16
18/2/2021,1,1,16
19/2/2021,1,1,11
20/2/2021,1,1,10
21/2/2021,1,1,19
22/2/2021,1,1,24
23/2/2021,1,1,9
24/2/2021,1,1,8
25/2/2021,1,1,13
26/2/2021,1,1,18
27/2/2021,1,1,17
28/2/2021,1,1,18
1/3/2021,1,1,18
2/3/2021,1,1,17
3/3/2021,1,1,14
4/3/2021,1,1,19
5/3/2021,1,1,10
6/3/2021,1,1,17
7/3/2021,1,1,16
8/3/2021,1,1,13
9/3/2021,1,1,13
10/3/2021,1,1,23
11/3/2021,1,1,21
12/3/2021,1,1,24
13/3/2021,1,1,25
14/3/2021,1,1,15
15/3/2021,1,1,20
16/3/2021,1,1,13
17/3/2021,1,1,15
18/3/2021,1,1,16
19/3/2021,1,1,17
20/3/2021,1,1,31
21/3/2021,1,1,25
22/3/2021,1,1,23
23/3/2021,1,1,16
24/3/2021,1,1,18
25/3/2021,1,1,13
26/3/2021,1,1,10
27/3/2021,1,1,16
28/3/2021,1,1,12
29/3/2021,1,1,25
30/3/2021,1,1,19
31/3/2021,1,1,18
1/4/2021,1,1,24
2/4/2021,1,1,20
3/4/2021,1,1,27
4/4/2021,1,1,26
5/4/2021,1,1,20
6/4/2021,1,1,20
7/4/2021,1,1,19
8/4/2021,1,1,17
9/4/2021,1,1,20
10/4/2021,1,1,24
11/4/2021,1,1,17
12/4/2021,1,1,21
13/4/2021,1,1,14
14/4/2021,1,1,26
15/4/2021,1,1,26
16/4/2021,1,1,20
17/4/2021,1,1,22
18/4/2021,1,1,23
19/4/2021,1,1,24
20/4/2021,1,1,17
21/4/2021,1,1,25
22/4/2021,1,1,19
23/4/2021,1,1,17
24/4/2021,1,1,11
25/4/2021,1,1,29
26/4/2021,1,1,30
27/4/2021,1,1,22
28/4/2021,1,1,27
29/4/2021,1,1,18
30/4/2021,1,1,27
1/5/2021,1,1,20
2/5/2021,1,1,22
3/5/2021,1,1,33
4/5/2021,1,1,14
5/5/2021,1,1,25
6/5/2021,1,1,13
7/5/2021,1,1,23
8/5/2021,1,1,22
9/5/2021,1,1,29
10/5/2021,1,1,29
11/5/2021,1,1,24
12/5/2021,1,1,21
13/5/2021,1,1,14
14/5/2021,1,1,17
15/5/2021,1,1,27
16/5/2021,1,1,31
17/5/2021,1,1,27
18/5/2021,1,1,11
19/5/2021,1,1,28
20/5/2021,1,1,17
21/5/2021,1,1,27
22/5/2021,1,1,22
23/5/2021,1,1,24
24/5/2021,1,1,27
25/5/2021,1,1,19
26/5/2021,1,1,19
27/5/2021,1,1,22
28/5/2021,1,1,23
29/5/2021,1,1,18
30/5/2021,1,1,36
31/5/2021,1,1,27
1/6/2021,1,1,23
2/6/2021,1,1,15
3/6/2021,1,1,23
4/6/2021,1,1,25
5/6/2021,1,1,18
6/6/2021,1,1,43
7/6/2021,1,1,22
8/6/2021,1,1,18
9/6/2021,1,1,19
10/6/2021,1,1,22
11/6/2021,1,1,29
12/6/2021,1,1,23
13/6/2021,1,1,28
14/6/2021,1,1,30
15/6/2021,1,1,19
16/6/2021,1,1,17
17/6/2021,1,1,28
18/6/2021,1,1,29
19/6/2021,1,1,20
20/6/2021,1,1,30
21/6/2021,1,1,34
22/6/2021,1,1,14
23/6/2021,1,1,27
24/6/2021,1,1,26
25/6/2021,1,1,21
26/6/2021,1,1,30
27/6/2021,1,1,31
28/6/2021,1,1,35
29/6/2021,1,1,26
30/6/2021,1,1,23
1/7/2021,1,1,21
2/7/2021,1,1,26
3/7/2021,1,1,30
4/7/2021,1,1,40
5/7/2021,1,1,30
6/7/2021,1,1,20
7/7/2021,1,1,24
8/7/2021,1,1,21
9/7/2021,1,1,33
10/7/2021,1,1,26
11/7/2021,1,1,30
12/7/2021,1,1,19
13/7/2021,1,1,22
14/7/2021,1,1,19
15/7/2021,1,1,20
16/7/2021,1,1,41
17/7/2021,1,1,31
18/7/2021,1,1,38
19/7/2021,1,1,38
20/7/2021,1,1,22
21/7/2021,1,1,29
22/7/2021,1,1,27
23/7/2021,1,1,17
24/7/2021,1,1,29
25/7/2021,1,1,34
26/7/2021,1,1,38
27/7/2021,1,1,13
28/7/2021,1,1,27
29/7/2021,1,1,26
30/7/2021,1,1,22
31/7/2021,1,1,29
1/8/2021,1,1,28
2/8/2021,1,1,19
3/8/2021,1,1,20
4/8/2021,1,1,26
5/8/2021,1,1,20
6/8/2021,1,1,25
7/8/2021,1,1,22
8/8/2021,1,1,19
9/8/2021,1,1,33
10/8/2021,1,1,14
11/8/2021,1,1,16
12/8/2021,1,1,24
13/8/2021,1,1,25
14/8/2021,1,1,23
15/8/2021,1,1,26
16/8/2021,1,1,27
17/8/2021,1,1,14
18/8/2021,1,1,18
19/8/2021,1,1,24
20/8/2021,1,1,17
21/8/2021,1,1,29
22/8/2021,1,1,22
23/8/2021,1,1,19
24/8/2021,1,1,19
25/8/2021,1,1,22
26/8/2021,1,1,26
27/8/2021,1,1,23
28/8/2021,1,1,25
29/8/2021,1,1,36
30/8/2021,1,1,25
31/8/2021,1,1,20
1/9/2021,1,1,27
2/9/2021,1,1,22
3/9/2021,1,1,16
4/9/2021,1,1,16
5/9/2021,1,1,34
6/9/2021,1,1,25
7/9/2021,1,1,17
8/9/2021,1,1,25
9/9/2021,1,1,13
10/9/2021,1,1,25
11/9/2021,1,1,28
12/9/2021,1,1,24
13/9/2021,1,1,28
14/9/2021,1,1,22
15/9/2021,1,1,21
16/9/2021,1,1,23
17/9/2021,1,1,19
18/9/2021,1,1,16
19/9/2021,1,1,40
20/9/2021,1,1,28
21/9/2021,1,1,18
22/9/2021,1,1,20
23/9/2021,1,1,22
24/9/2021,1,1,28
25/9/2021,1,1,20
26/9/2021,1,1,20
27/9/2021,1,1,32
28/9/2021,1,1,15
29/9/2021,1,1,19
30/9/2021,1,1,15
1/10/2021,1,1,25
2/10/2021,1,1,12
3/10/2021,1,1,20
4/10/2021,1,1,22
5/10/2021,1,1,13
6/10/2021,1,1,14
7/10/2021,1,1,19
8/10/2021,1,1,21
9/10/2021,1,1,27
10/10/2021,1,1,22
11/10/2021,1,1,25
12/10/2021,1,1,12
13/10/2021,1,1,24
14/10/2021,1,1,26
15/10/2021,1,1,19
16/10/2021,1,1,23
17/10/2021,1,1,22
18/10/2021,1,1,25
19/10/2021,1,1,19
20/10/2021,1,1,21
21/10/2021,1,1,24
22/10/2021,1,1,17
23/10/2021,1,1,28
24/10/2021,1,1,24
25/10/2021,1,1,33
26/10/2021,1,1,18
27/10/2021,1,1,18
28/10/2021,1,1,8
29/10/2021,1,1,17
30/10/2021,1,1,19
31/10/2021,1,1,30
1/11/2021,1,1,26
2/11/2021,1,1,16
3/11/2021,1,1,25
4/11/2021,1,1,26
5/11/2021,1,1,21
6/11/2021,1,1,24
7/11/2021,1,1,25
8/11/2021,1,1,25
9/11/2021,1,1,16
10/11/2021,1,1,15
11/11/2021,1,1,24
12/11/2021,1,1,19
13/11/2021,1,1,21
14/11/2021,1,1,37
15/11/2021,1,1,31
16/11/2021,1,1,14
17/11/2021,1,1,19
18/11/2021,1,1,30
19/11/2021,1,1,26
20/11/2021,1,1,27
21/11/2021,1,1,22
22/11/2021,1,1,30
23/11/2021,1,1,21
24/11/2021,1,1,20
25/11/2021,1,1,16
26/11/2021,1,1,19
27/11/2021,1,1,33
28/11/2021,1,1,24
29/11/2021,1,1,27
30/11/2021,1,1,5
1/12/2021,1,1,13
2/12/2021,1,1,12
3/12/2021,1,1,14
4/12/2021,1,1,29
5/12/2021,1,1,12
6/12/2021,1,1,14
7/12/2021,1,1,14
8/12/2021,1,1,13
9/12/2021,1,1,18
10/12/2021,1,1,14
11/12/2021,1,1,21
